nl_query,soql_params,schema,iucr_context
How many theft incidents are in the dataset?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'THEFT'""}",primary_type (text).,
How many robbery incidents are in the dataset?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'ROBBERY'""}",primary_type (text).,
How many burglaries happened in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'BURGLARY'""}","year (number), primary_type (text).",
How many batteries happened in 2023?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'BATTERY'""}","year (number), primary_type (text).",
How many motor vehicle theft incidents happened in 2022?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2022 AND primary_type = 'MOTOR VEHICLE THEFT'""}","year (number), primary_type (text).",
How many narcotics incidents happened in 2021?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'NARCOTICS'""}","year (number), primary_type (text).",
How many criminal damage incidents happened in 2020?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'CRIMINAL DAMAGE'""}","year (number), primary_type (text).",
How many assaults happened in 2019?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2019 AND primary_type = 'ASSAULT'""}","year (number), primary_type (text).",
"How many theft incidents happened since January 1, 2025?","{""$select"": ""count(*) as total"", ""$where"": ""date >= '2025-01-01T00:00:00' AND primary_type = 'THEFT'""}","date (timestamp), primary_type (text).",
"How many robberies happened since July 1, 2024?","{""$select"": ""count(*) as total"", ""$where"": ""date >= '2024-07-01T00:00:00' AND primary_type = 'ROBBERY'""}","date (timestamp), primary_type (text).",
How many burglaries happened in March 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""date >= '2024-03-01T00:00:00' AND date < '2024-04-01T00:00:00' AND primary_type = 'BURGLARY'""}","date (timestamp), primary_type (text).",
"How many batteries happened between January 1, 2024 and February 1, 2024?","{""$select"": ""count(*) as total"", ""$where"": ""date >= '2024-01-01T00:00:00' AND date < '2024-02-01T00:00:00' AND primary_type = 'BATTERY'""}","date (timestamp), primary_type (text).",
How many weapons violation incidents happened in Q1 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""date >= '2024-01-01T00:00:00' AND date < '2024-04-01T00:00:00' AND primary_type = 'WEAPONS VIOLATION'""}","date (timestamp), primary_type (text).",
How many deceptive practice incidents happened in the first half of 2023?,"{""$select"": ""count(*) as total"", ""$where"": ""date >= '2023-01-01T00:00:00' AND date < '2023-07-01T00:00:00' AND primary_type = 'DECEPTIVE PRACTICE'""}","date (timestamp), primary_type (text).",
How many criminal trespass incidents happened in December 2023?,"{""$select"": ""count(*) as total"", ""$where"": ""date >= '2023-12-01T00:00:00' AND date < '2024-01-01T00:00:00' AND primary_type = 'CRIMINAL TRESPASS'""}","date (timestamp), primary_type (text).",
How many public peace violation incidents happened in the last 30 days?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 30 AND primary_type = 'PUBLIC PEACE VIOLATION'""}","date (timestamp), primary_type (text).",
How many motor vehicle theft incidents happened in the last 14 days?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 14 AND primary_type = 'MOTOR VEHICLE THEFT'""}","date (timestamp), primary_type (text).",
How many narcotics incidents happened in the last 24 hours?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 1 AND primary_type = 'NARCOTICS'""}","date (timestamp), primary_type (text).",
How many incidents categorized as other offense happened in the last 60 days?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 60 AND primary_type = 'OTHER OFFENSE'""}","date (timestamp), primary_type (text).",
How many sex offense incidents happened in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'SEX OFFENSE'""}","year (number), primary_type (text).",
"In 2002, how many first-degree or second-degree murder incidents led to an arrest?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2002 AND iucr IN ('0110','0130') AND arrest = true""}","year (number), iucr (text), arrest (boolean).","0110 | HOMICIDE | FIRST DEGREE MURDER
0130 | HOMICIDE | SECOND DEGREE MURDER"
"In 2011, how many involuntary manslaughter or reckless homicide incidents were recorded without an arrest?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2011 AND iucr IN ('0141','0142') AND arrest = false""}","year (number), iucr (text), arrest (boolean).","0141 | HOMICIDE | INVOLUNTARY MANSLAUGHTER
0142 | HOMICIDE | RECKLESS HOMICIDE"
